,Name,Percent_Change
0,SHYAMMETL,-0.07372304076258461
0,INDIACEM,-0.07326329730400451
0,ZOMATO,-0.07318795713279097
0,POWERGRID,-0.0731653754577971
0,EPL,-0.07300819647957879
0,HDFC,-0.07299611313892702
0,ASTERDM,-0.07250129237435113
0,TCNSBRANDS,-0.07194558604078492
0,BATAINDIA,-0.07175266083156429
0,POLYCAB,-0.07142117802532688
0,ALOKINDS,-0.07126433273841595
0,GNFC,-0.07116130002790551
0,RITES,-0.07102272903201434
0,EIHOTEL,-0.07089826012418411
0,AMARAJABAT,-0.07072008225519379
0,IRFC,-0.07058823529411765
0,AARTIDRUGS,-0.06864937530981242
0,SPARC,-0.06778902852307787
0,ICICIPRULI,-0.06740201521874267
0,SUPREMEIND,-0.06689724057888184
0,CAPLIPOINT,-0.06664906716882754
0,SFL,-0.06663216803110708
0,TATAMTRDVR,-0.06652610518277699
0,ASTRAZEN,-0.06646364205311966
0,BAYERCROP,-0.06638942024103939
0,PNB,-0.0663507237529391
0,BBTC,-0.06523182719621257
0,KANSAINER,-0.06518245170937693
0,VINATIORGA,-0.06509051283534409
0,RELIANCE,-0.06460152481612266
0,SAIL,-0.06421408764893395
0,WHIRLPOOL,-0.06370835142941977
0,MCDOWELL-N,-0.06369661807447795
0,GRASIM,-0.06363632975147467
0,GAIL,-0.06330439028532608
0,TATAMOTORS,-0.06306508653120053
0,UTIAMC,-0.06293752175534836
0,PEL,-0.06293075484419663
0,ZYDUSLIFE,-0.06276486182188808
0,BANKINDIA,-0.06275718791811542
0,CHOLAFIN,-0.06259233980796748
0,TRENT,-0.06238273957021083
0,ADVENZYMES,-0.061777373240670834
0,MOTILALOFS,-0.061118139245155655
0,COLPAL,-0.06081982600664856
0,HOMEFIRST,-0.060473815461346635
0,SRF,-0.0603253182108744
0,SIS,-0.060058237075913797
0,RAILTEL,-0.05997980979119006
0,TV18BRDCST,-0.0596273671025817
0,SUNPHARMA,-0.05927047630577824
0,PFC,-0.05906224492007195
0,MHRIL,-0.058810659628359144
0,RVNL,-0.05873254407420064
0,ECLERX,-0.05868040221979575
0,FORTIS,-0.05803022936385939
0,GLENMARK,-0.057760468210962645
0,VTL,-0.05771816176856124
0,EXIDEIND,-0.05760758945574781
0,PNCINFRA,-0.05741337701535746
0,CONCOR,-0.057207584021226415
0,ABSLAMC,-0.057172664375365015
0,ESCORTS,-0.05680877287565454
0,MANAPPURAM,-0.05676390953974635
0,IRB,-0.056435397015118134
0,IOC,-0.056416843311357164
0,THYROCARE,-0.056080406425119134
0,IIFLWAM,-0.055599489073822464
0,SBILIFE,-0.055599071951008605
0,VOLTAS,-0.05551008117978564
0,BAJAJHLDNG,-0.055445876811044216
0,UCOBANK,-0.05531911647066142
0,MRF,-0.05526468780797685
0,CIPLA,-0.05517836732934251
0,BHARATFORG,-0.0551623316934969
0,POWERINDIA,-0.05495520933950273
0,VGUARD,-0.05351813668126999
0,FSL,-0.05324910977775727
0,SUPRAJIT,-0.05323901987979658
0,BALKRISIND,-0.05315541944657115
0,COCHINSHIP,-0.05279265493496557
0,OBEROIRLTY,-0.05217500468468214
0,GICRE,-0.052105045093888934
0,DALBHARAT,-0.05203405958108055
0,NH,-0.05197518994463672
0,PETRONET,-0.05192443177778464
0,APLAPOLLO,-0.051173590607556003
0,RALLIS,-0.051015295217144416
0,DEVYANI,-0.05084228515625
0,BLUESTARCO,-0.0507647197406049
0,DCMSHRIRAM,-0.050535375379652664
0,ERIS,-0.05047874614988938
0,BAJAJELEC,-0.050218352385512595
0,JMFINANCIL,-0.049881258111894644
0,INDHOTEL,-0.04983181644844823
0,RTNINDIA,-0.04910716072333149
0,IDEA,-0.048387075272691885
0,JBCHEPHARM,-0.04802408583165696
0,ASIANPAINT,-0.04746835443037975
0,CASTROLIND,-0.04746545185141849
0,POONAWALLA,-0.047175397012822216
0,EDELWEISS,-0.04684681935353322
0,HCLTECH,-0.04572559641482577
0,NAVINFLUOR,-0.04527436597474936
0,YESBANK,-0.04460962351702742
0,DIXON,-0.044137207536503964
0,ACC,-0.043924194856126905
0,KNRCON,-0.04363863561605762
0,ABB,-0.04306821754165357
0,BPCL,-0.042989500710531564
0,SUNTV,-0.04279621130033969
0,JUBLFOOD,-0.04269198591189876
0,BIOCON,-0.04220917856963407
0,HDFCAMC,-0.042145750339645856
0,ICICIBANK,-0.04161659908358383
0,REDINGTON,-0.04083147828216617
0,NATCOPHARM,-0.040828597581259805
0,FDC,-0.04080799785947306
0,SUMICHEM,-0.040340909090909094
0,SJVN,-0.04007287252810751
0,PIIND,-0.03959900766737171
0,ATUL,-0.03932234416167358
0,OFSS,-0.03924162725940869
0,HLEGLAS,-0.03909371407588871
0,GODREJAGRO,-0.038831187450144154
0,PFIZER,-0.03826768683983692
0,PRESTIGE,-0.037829402833642244
0,PRIVISCL,-0.03773174653309524
0,NHPC,-0.037257824990326815
0,SANOFI,-0.03704504493971929
0,AUBANK,-0.03684271301341723
0,MTARTECH,-0.03668781073204183
0,PIDILITIND,-0.03661340993300894
0,NUVOCO,-0.03659701548534987
0,BRIGADE,-0.035601218943440475
0,KEI,-0.035279483485657584
0,INFY,-0.03418920066334355
0,KPITTECH,-0.033160854716793725
0,PGHL,-0.03275931175661282
0,BRITANNIA,-0.03275774969416288
0,IGL,-0.032540841022109
0,HDFCBANK,-0.03232139220857766
0,PCBL,-0.03219871295549837
0,BALAMINES,-0.03207172985745434
0,ENGINERSIN,-0.03182582079728194
0,CENTURYPLY,-0.03177126255932062
0,VENKEYS,-0.03134841616835656
0,SUNDRMFAST,-0.03109084754386423
0,MMTC,-0.03094059289080203
0,HINDPETRO,-0.03062327330863045
0,ALKEM,-0.029734340726297832
0,SUDARSCHEM,-0.029125124909156978
0,UBL,-0.02881365449119947
0,SBIN,-0.028234289347146845
0,HUDCO,-0.028169014084507043
0,TATACONSUM,-0.027661133539531237
0,COALINDIA,-0.027510651604915712
0,COFORGE,-0.02749915343332809
0,BDL,-0.026121902210314803
0,CHEMPLASTS,-0.025861234457739232
0,ICIL,-0.025766100625121535
0,ISEC,-0.025655348426235312
0,UFLEX,-0.024911925917938102
0,PNBHOUSING,-0.02454261534968388
0,APOLLOHOSP,-0.023458690366928884
0,BLUEDART,-0.02286415340306695
0,CUMMINSIND,-0.022370000273662947
0,BHARTIARTL,-0.021600709319244737
0,METROBRAND,-0.021224795522134642
0,CYIENT,-0.020832015941808293
0,HAPPSTMNDS,-0.020807724682479968
0,SKFINDIA,-0.020414591469062746
0,SCHAEFFLER,-0.02000608454738881
0,PRSMJOHNSN,-0.019833962136666806
0,MAHLOG,-0.019762405823940336
0,NESTLEIND,-0.01969008595144041
0,TATACOFFEE,-0.01945332129463379
0,ADANITRANS,-0.019033257328283995
0,SIEMENS,-0.018176910933853326
0,AMBUJACEM,-0.01816713826340149
0,TCS,-0.017939426361936153
0,ONGC,-0.01770220755109311
0,FLUOROCHEM,-0.01765640319413718
0,CREDITACC,-0.01696409884295944
0,GOCOLORS,-0.016493525873996343
0,MINDTREE,-0.016243218428501963
0,TEAMLEASE,-0.016205790065075602
0,KALYANKJIL,-0.015993278426526043
0,CROMPTON,-0.01564277561013673
0,PVR,-0.015570469798657718
0,BANKBARODA,-0.015263446629024678
0,ROSSARI,-0.01471337239500492
0,SOBHA,-0.013766999669080402
0,TTKPRESTIG,-0.013490017189671969
0,GARFIBRES,-0.013186366889460663
0,ORIENTELEC,-0.01309807539956819
0,AUROPHARMA,-0.013064515942638627
0,GLAXO,-0.012841620019756339
0,INTELLECT,-0.012614083709966651
